"id","metric","linear_draft","snake_draft","random","stratified_random","tax_the_rich","feed_the_poor","alternating_convergence"
"Student_1",3.894711,1,1,1,4,1,1,1
"Student_2",3.801256,2,2,5,5,2,2,2
"Student_3",3.722046,3,3,2,3,3,3,3
"Student_4",3.649206,4,4,3,1,4,4,4
"Student_5",3.579572,5,5,5,2,5,5,5
"Student_6",3.511418,1,5,5,1,1,5,1
"Student_7",3.443598,2,4,4,4,1,5,2
"Student_8",3.375225,3,3,4,2,2,5,3
"Student_9",3.305519,4,2,1,5,2,4,1
"Student_10",3.233713,5,1,4,3,5,4,4
"Student_11",3.158981,1,1,3,3,4,4,5
"Student_12",3.080358,2,2,5,2,3,3,5
"Student_13",2.996644,3,3,3,1,3,3,2
"Student_14",2.906249,4,4,2,4,4,3,4
"Student_15",2.80693,5,5,2,5,5,2,3
"Student_16",2.695307,1,5,2,2,5,2,5
"Student_17",2.565806,2,4,3,5,4,2,4
"Student_18",2.40805,3,3,1,1,3,1,3
"Student_19",2.198529,4,2,1,3,2,1,2
"Student_20",1.858802,5,1,4,4,1,1,1
